zip,primary_city,state,county,latitude,longitude
53518,Blue River,WI,Richland County,43.18,-90.57
53520,Brodhead,WI,Green County,42.61,-89.37
53521,Brooklyn,WI,Dane County,42.85,-89.37
53522,Browntown,WI,Green County,42.57,-89.79
53523,Cambridge,WI,Dane County,43,-89.01
53525,Clinton,WI,Rock County,42.55,-88.86
53526,Cobb,WI,Iowa County,42.97,-90.34
53527,Cottage Grove,WI,Dane County,43.08,-89.2
53528,Cross Plains,WI,Dane County,43.11,-89.64
53529,Dane,WI,Dane County,43.25,-89.5
53530,Darlington,WI,Lafayette County,42.68,-90.11
53531,Deerfield,WI,Dane County,43.05,-89.07
53532,De Forest,WI,Dane County,43.24,-89.34
53533,Dodgeville,WI,Iowa County,42.96,-90.13
53534,Edgerton,WI,Rock County,42.83,-89.07
53535,Edmund,WI,Iowa County,42.97,-90.24
53536,Evansville,WI,Rock County,42.77,-89.29
53537,Footville,WI,Rock County,42.67,-89.21
53538,Fort Atkinson,WI,Jefferson County,42.92,-88.84
53540,Gotham,WI,Richland County,43.23,-90.28
53541,Gratiot,WI,Lafayette County,42.57,-90.02
53542,Hanover,WI,Rock County,42.69,-89.09
53543,Highland,WI,Iowa County,43.04,-90.37
53544,Hollandale,WI,Iowa County,42.87,-89.93
53545,Janesville,WI,Rock County,42.68,-89.01
53546,Janesville,WI,Rock County,42.65,-88.95
53547,Janesville,WI,Rock County,42.68,-89.01
53548,Janesville,WI,Rock County,42.68,-89.07
53549,Jefferson,WI,Jefferson County,43,-88.8
53550,Juda,WI,Green County,42.55,-89.49
53551,Lake Mills,WI,Jefferson County,43.07,-88.9
53553,Linden,WI,Iowa County,42.91,-90.27
53554,Livingston,WI,Grant County,42.9,-90.43
53555,Lodi,WI,Columbia County,43.31,-89.53
53556,Lone Rock,WI,Richland County,43.18,-90.2
53557,Lowell,WI,Dodge County,43.33,-88.82
53558,Mc Farland,WI,Dane County,43.01,-89.29
53559,Marshall,WI,Dane County,43.17,-89.06
53560,Mazomanie,WI,Dane County,43.17,-89.79
53561,Merrimac,WI,Sauk County,43.37,-89.62
53562,Middleton,WI,Dane County,43.1,-89.5
53563,Milton,WI,Rock County,42.77,-88.94
53565,Mineral Point,WI,Iowa County,42.86,-90.18
53566,Monroe,WI,Green County,42.59,-89.64
53569,Montfort,WI,Grant County,42.97,-90.43
53570,Monticello,WI,Green County,42.74,-89.58
53571,Morrisonville,WI,Dane County,43.28,-89.35
53572,Mount Horeb,WI,Dane County,43,-89.73
53573,Muscoda,WI,Grant County,43.18,-90.43
53574,New Glarus,WI,Green County,42.81,-89.63
53575,Oregon,WI,Dane County,42.92,-89.38
53576,Orfordville,WI,Rock County,42.62,-89.25
53577,Plain,WI,Sauk County,43.27,-90.04
53578,Prairie Du Sac,WI,Sauk County,43.29,-89.72
53579,Reeseville,WI,Dodge County,43.3,-88.84
53580,Rewey,WI,Iowa County,42.84,-90.39
53581,Richland Center,WI,Richland County,43.33,-90.38
53582,Ridgeway,WI,Iowa County,42.99,-89.99
53583,Sauk City,WI,Sauk County,43.27,-89.72
53584,Sextonville,WI,Richland County,43.28,-90.29
53585,Sharon,WI,Walworth County,42.5,-88.73
53586,Shullsburg,WI,Lafayette County,42.57,-90.23
53587,South Wayne,WI,Lafayette County,42.56,-89.88
53588,Spring Green,WI,Sauk County,43.17,-90.06
53589,Stoughton,WI,Dane County,42.92,-89.22
53590,Sun Prairie,WI,Dane County,43.18,-89.23
53593,Verona,WI,Dane County,42.98,-89.53
53594,Waterloo,WI,Jefferson County,43.18,-88.98
53595,Dodgeville,WI,Iowa County,42.96,-90.13
53596,Sun Prairie,WI,Dane County,43.18,-89.23
53597,Waunakee,WI,Dane County,43.18,-89.45
53598,Windsor,WI,Dane County,43.21,-89.34
53599,Woodford,WI,Lafayette County,42.65,-89.86
53701,Madison,WI,Dane County,43.07,-89.38
53702,Madison,WI,Waukesha County,43.06,-88.23
53703,Madison,WI,Dane County,43.08,-89.38
53704,Madison,WI,Dane County,43.14,-89.35
53705,Madison,WI,Dane County,43.07,-89.46
53706,Madison,WI,Dane County,43.07,-89.41
53707,Madison,WI,Dane County,43.07,-89.38
53708,Madison,WI,Dane County,43.07,-89.38
53711,Madison,WI,Dane County,43.01,-89.42
53713,Madison,WI,Dane County,43.04,-89.39
53714,Madison,WI,Dane County,43.1,-89.31
53715,Madison,WI,Dane County,43.07,-89.4
53716,Madison,WI,Dane County,43.07,-89.31
53717,Madison,WI,Dane County,43.07,-89.52
53718,Madison,WI,Dane County,43.09,-89.28
53719,Madison,WI,Dane County,43.05,-89.52
53725,Madison,WI,Dane County,43.07,-89.38
53726,Madison,WI,Dane County,43.07,-89.42
53744,Madison,WI,Dane County,43.07,-89.38
53774,Madison,WI,Dane County,43.07,-89.4
53777,Madison,WI,Dane County,43.07,-89.38
53778,Madison,WI,Dane County,43.07,-89.38
53779,Madison,WI,Dane County,43.07,-89.38
53782,Madison,WI,Dane County,43.07,-89.38
53783,Madison,WI,Dane County,43.07,-89.38
53784,Madison,WI,Dane County,43.07,-89.38
53785,Madison,WI,Dane County,43.07,-89.38
53786,Madison,WI,Dane County,43.07,-89.38
53788,Madison,WI,Dane County,43.07,-89.38
53789,Madison,WI,Dane County,43.07,-89.38
53790,Madison,WI,Dane County,43.07,-89.38
53791,Madison,WI,Dane County,43.07,-89.38
53792,Madison,WI,Dane County,43.08,-89.43
53793,Madison,WI,Dane County,43.07,-89.38
53794,Madison,WI,Dane County,43.07,-89.38
53801,Bagley,WI,Grant County,42.9,-91.09
53802,Beetown,WI,Grant County,42.81,-90.89
53803,Benton,WI,Lafayette County,42.57,-90.38
53804,Bloomington,WI,Grant County,42.89,-90.92
53805,Boscobel,WI,Grant County,43.13,-90.7
53806,Cassville,WI,Grant County,42.71,-90.99
53807,Cuba City,WI,Grant County,42.6,-90.43
53808,Dickeyville,WI,Grant County,42.63,-90.59
53809,Fennimore,WI,Grant County,42.98,-90.65
53810,Glen Haven,WI,Grant County,42.83,-91.06
53811,Hazel Green,WI,Grant County,42.53,-90.43
53812,Kieler,WI,Grant County,42.58,-90.59
53813,Lancaster,WI,Grant County,42.84,-90.7
53816,Mount Hope,WI,Grant County,42.96,-90.85
53817,Patch Grove,WI,Grant County,42.95,-90.97
53818,Platteville,WI,Grant County,42.73,-90.47
53820,Potosi,WI,Grant County,42.68,-90.71
53821,Prairie Du Chien,WI,Crawford County,43.04,-91.14
53824,Sinsinawa,WI,Grant County,42.51,-90.53
53825,Stitzer,WI,Grant County,42.91,-90.63
53826,Wauzeka,WI,Crawford County,43.08,-90.89
53827,Woodman,WI,Grant County,43.09,-90.79
53901,Portage,WI,Columbia County,43.54,-89.46
53910,Adams,WI,Adams County,43.95,-89.81
53911,Arlington,WI,Columbia County,43.33,-89.37
53913,Baraboo,WI,Sauk County,43.46,-89.74
53916,Beaver Dam,WI,Dodge County,43.46,-88.83
53919,Brandon,WI,Fond du Lac County,43.73,-88.78
53920,Briggsville,WI,Marquette County,43.68,-89.57
53922,Burnett,WI,Dodge County,43.52,-88.7
53923,Cambria,WI,Columbia County,43.54,-89.11
53924,Cazenovia,WI,Richland County,43.52,-90.19
53925,Columbus,WI,Columbia County,43.33,-89.02
53926,Dalton,WI,Green Lake County,43.68,-89.19
53927,Dellwood,WI,Adams County,43.96,-89.95
53928,Doylestown,WI,Columbia County,43.43,-89.16
53929,Elroy,WI,Juneau County,43.74,-90.27
53930,Endeavor,WI,Marquette County,43.71,-89.46
